,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
"Orig. inplace ass. liquid 
[mill Sm3]",1.0,0.05067544379135778,0.6901159589145354,-0.1444238665008594,0.4981417842551814,0.2558772515059554,0.365949729184857,0.04160097425282607,0.5471473797152483,0.48064298786230464,0.20329420917867022,0.3174367006995619,0.19223860649150318,0.193078151843762,0.22665530048022692,-0.13631663055330157,0.17875938416765685,-0.007291222285077398,0.2666535277773698,0.30305988246948257,0.09340808554340764,0.3791830212168806,0.27328992063830504
"Orig. inplace ass. gas 
[bill Sm3]",0.05067544379135777,1.0,-0.21926406645505736,0.8263537770190194,0.5909412296215419,-0.15918408788312433,0.5504660720997676,0.5192295993058467,0.26188828737445674,0.4372275446743136,-0.1361492685772303,0.4185853513279454,0.23573610150000274,0.2372402284857887,0.3575326562973884,-0.32951564837743275,0.20591149163275763,-0.32555568534219415,-0.09836008050862911,0.3869513293444116,-0.010471426072989808,0.05141426240891369,0.5799618868396448
"Orig. inplace free gas 
[bill Sm3]",0.6901159589145354,-0.21926406645505736,1.0,-0.28395215653175726,0.2892842708442253,0.3849934078440706,0.33598183536519405,-0.046188843965806234,0.5847734918486679,0.4151518870688165,0.27814269744294706,0.2913669659200002,0.15075604310038898,0.15137343992090327,0.14315171757965714,-0.0005391935367578732,0.08597566527178385,0.10348928898278348,0.24947765296726576,0.1936827631041545,0.11085456312763041,0.34573654128483183,0.0803990416364444
"Orig. inplace oil 
[mill Sm3]",-0.1444238665008594,0.8263537770190194,-0.28395215653175726,0.9999999999999998,0.4217550658489392,-0.2749155516561066,0.5926065313843125,0.6827168183922017,0.15877909177131325,0.3240329002648849,-0.2590136757420846,0.4822720562464244,0.16978451315889614,0.17359553588849938,0.32287837183791973,-0.19453740956914983,0.17641725671730532,-0.27418947661841264,-0.12090844087253393,0.4349804762508896,-0.05153614523941124,-0.0662177261623127,0.6014073000320702
"Orig. recoverable NGL 
[mill tonn]",0.49814178425518135,0.5909412296215419,0.28928427084422526,0.4217550658489392,1.0,0.100711634551392,0.6640327276678067,0.44964485065022336,0.6046408777475435,0.8149642259786744,-0.053722295997761106,0.5391366165228708,0.25999055856062725,0.26409930716584457,0.2528493179633555,-0.24584056871246765,0.21140129220972714,-0.18920535656820237,0.11358648660535973,0.45215364747145964,0.08356313612573016,0.19024621172727724,0.5386158579726978
"Orig. recoverable cond. 
[mill Sm3]",0.2558772515059554,-0.15918408788312433,0.38499340784407066,-0.2749155516561066,0.100711634551392,1.0,0.21745377128720914,-0.3124119549776294,0.12056070331057817,0.0463730129524991,0.4160080678268932,-0.03768019236240193,0.07967537833145373,0.08380026740439246,0.012585152996467666,-0.15662940218209623,0.08405547597528279,-0.16798143887279582,0.1280675593538627,-0.05896132375710314,-0.0070284708795951565,0.1689728754966244,0.0852710538679589
"Orig. recoverable oil eq. 
[mill Sm3 o.e]",0.365949729184857,0.5504660720997676,0.33598183536519405,0.5926065313843125,0.6640327276678067,0.21745377128720914,1.0,0.5501155415696198,0.5217334990709959,0.5221533178840225,0.16464204669533547,0.6902607830051892,0.2213526864646248,0.22696292166017693,0.39590890898523934,-0.3259600188726451,0.2061941381420851,-0.35915856784789496,0.1788780551210649,0.519834216768102,-0.00589381730739876,0.20893936550096368,0.7486616794671843
"Remaining oil 
[mill Sm3]",0.04160097425282607,0.5192295993058467,-0.046188843965806234,0.6827168183922017,0.44964485065022336,-0.3124119549776294,0.5501155415696198,0.9999999999999998,0.465746775895292,0.5483172644887513,-0.2370051908799464,0.8294280523594354,0.2070641923245107,0.20661861725025638,0.2114494952810587,0.07549513039526867,0.03676338697768924,0.13031673513653294,0.037613351317193656,0.5357708759791122,-0.05356899432339057,0.08030193724420578,0.37822451961294806
"Remaining gas 
[bill Sm3]",0.5471473797152483,0.2618882873744567,0.5847734918486679,0.15877909177131325,0.6046408777475435,0.12056070331057817,0.5217334990709959,0.4657467758952921,0.9999999999999998,0.8451154190538428,0.29794502166758513,0.7593831802133326,0.2210545859871309,0.2169181805949223,0.14554929067113367,0.05617515774551051,0.12441970124348257,0.23848326962733726,0.14087087043727237,0.5087688693434798,0.10774678566389598,0.3277004645980119,0.24865826388811182
"Remaining NGL 
[mill tonn]",0.4806429878623047,0.4372275446743136,0.4151518870688165,0.3240329002648849,0.8149642259786744,0.0463730129524991,0.5221533178840225,0.5483172644887513,0.8451154190538428,1.0,0.024498686147850158,0.6928035421318143,0.2943402856620994,0.2929454372399886,0.13606809718050925,0.006209484895674413,0.13565028218793018,0.13736853551804712,0.10475421645607907,0.48673189021009394,0.030192196989504854,0.21662319844638728,0.29514879824261064
