,feature 1,feature 2,rank,abs rank
0,Completion logs,Avg Core Photos,0.9987798293758965,0.9987798293758965
1,"Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]",0.8451154190538428,0.8451154190538428
2,"Remaining  oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]",0.8294280523594355,0.8294280523594355
3,"Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]",0.8263537770190194,0.8263537770190194
4,"Orig. recoverable NGL 
[mill tonn]","Remaining NGL 
[mill tonn]",0.8149642259786744,0.8149642259786744
5,"Remaining gas 
[bill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",0.7593831802133326,0.7593831802133326
6,Dev start year,Exp start year,0.7573979586798687,0.7573979586798687
7,Dev Duration,"Orig. recoverable oil eq. 
[mill Sm3 o.e]",0.7486616794671843,0.7486616794671843
8,"Remaining NGL 
[mill tonn]","Remaining  oil eq. 
[mill Sm3 o.e]",0.6928035421318143,0.6928035421318143
9,"Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining  oil eq. 
[mill Sm3 o.e]",0.6902607830051892,0.6902607830051892
10,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace free gas 
[bill Sm3]",0.6901159589145354,0.6901159589145354
11,"Orig. inplace oil 
[mill Sm3]","Remaining oil 
[mill Sm3]",0.6827168183922017,0.6827168183922017
12,"Orig. recoverable oil eq. 
[mill Sm3 o.e]","Orig. recoverable NGL 
[mill tonn]",0.6640327276678067,0.6640327276678067
13,"Remaining  oil eq. 
[mill Sm3 o.e]",Dev end year,0.6353282100719037,0.6353282100719037
14,"Remaining gas 
[bill Sm3]","Orig. recoverable NGL 
[mill tonn]",0.6046408777475435,0.6046408777475435
15,"Orig. inplace oil 
[mill Sm3]",Dev Duration,0.6014073000320702,0.6014073000320702
16,"Orig. inplace oil 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]",0.5926065313843125,0.5926065313843125
17,"Orig. recoverable NGL 
[mill tonn]","Orig. inplace ass. gas 
[bill Sm3]",0.5909412296215419,0.5909412296215419
18,"Orig. inplace free gas 
[bill Sm3]","Remaining gas 
[bill Sm3]",0.5847734918486679,0.5847734918486679
19,"Orig. inplace ass. gas 
[bill Sm3]",Dev Duration,0.5799618868396448,0.5799618868396448
20,Dev start year,Dev Duration,-0.5587842373836135,0.5587842373836135
21,Dev Duration,Dev end year,0.5573952000340241,0.5573952000340241
22,"Orig. inplace ass. gas 
[bill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]",0.5504660720997676,0.5504660720997676
